Agency_Code,Unique_Investment_Identifier,Business Case ID,Agency,Investment Title,Project_ID,Project_Name,Project Description,Start_Date,Completion_Date,Duration,Planned_Completion_Date,Planned_Duration,Projected/Actual Project Completion Date (B2),Lifecycle_Cost,Planned_Cost,Actual_Cost,Updated Date,Updated Time,Column
6,006-000051500,1081,Department of Commerce(6),Commerce Business Application Solutions (BAS),2083,Implementation Planning,Development of project documentation and approach for BAS project.,2012-01-10T00:00:00Z,2014-03-31T00:00:00Z,810,,,,1.49178,1.49178,1.49178,28/09/2011,13:22:53,
6,006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1002,Census Data Centers Network Upgrade,This technology refresh will allow upgrade critical pieces of the WAN and infrastructure that will help to ensure the reliability and availability of the Census WAN.,2011-10-06T00:00:00Z,2012-03-30T00:00:00Z,176,2012-03-30T00:00:00Z,176,2012-04-09T00:00:00Z,8.431158,5.620852,1.469844,20/08/2012,13:53:17,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,915,FY12 D2D2T,The scope of this project is to procure and implement Boyers Disk to Disk storage. Also to procure installation of tape silo at Boyers to complete Data Life Cycle design between Boyers and Alexandria.,2011-09-13T00:00:00Z,2012-08-22T00:00:00Z,344,2012-03-05T00:00:00Z,174,2012-07-20T00:00:00Z,1.45952,1.45181,1.45181,27/07/2012,12:50:21,
6,006-000051100,725,Department of Commerce(6),Consolidated HCHB IT Infrastructure (CHII),2879,Windows Rearchitecture,Windows server infrastructure rearchitecture and Windows 7 deployment.,2011-01-07T00:00:00Z,2013-03-31T00:00:00Z,814,,,,1.445,1.442,1.4451,29/06/2012,7:21:57,
6,006-000803200,929,Department of Commerce(6),USPTO Patents End-to-End: Software Engineering (PE2E-SE),3247,Applicant to Office Interface - (TEXT2PTO),This project will continue the investigate with receiving structured text from the applicant and bring efficiencies in the ecommerce. It will dovetail with FPNG and MYUSPTO.,2012-04-06T00:00:00Z,2012-11-28T00:00:00Z,236,2012-11-28T00:00:00Z,236,2012-11-28T00:00:00Z,1.43565,1.43565,1.43565,15/08/2012,13:30:11,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,3243,ITSM Asset Management,Incorporate asset management workflow and reporting capability into ITSM.,2012-06-20T00:00:00Z,2013-04-01T00:00:00Z,285,2013-04-01T00:00:00Z,285,2013-04-01T00:00:00Z,1.4,1.4,1.4,27/07/2012,12:50:21,
6,006-000803400,930,Department of Commerce(6),USPTO Trademark Next Generation (TM NG),2901,Trademark Records Management (TRM) - Phase 1,Development of the TRM system using defined business tools.,2012-04-04T00:00:00Z,2012-11-30T00:00:00Z,240,,,,1.39027,1.39027,1.39027,16/08/2012,5:23:21,
6,006-000380400,711,Department of Commerce(6),NOAA/OCIO/ NOAA R&amp;D High Performance Computing System,2933,GFDL Data Portal,"Acquire, install, and integrate data portal equipment to support data transfers from GAEA HPC.",2011-01-11T00:00:00Z,2012-02-29T00:00:00Z,414,2012-02-29T00:00:00Z,414,2012-06-03T00:00:00Z,1.383,1.383,1.383,28/03/2012,7:41:03,
6,006-000051000,721,Department of Commerce(6),Commerce Business Systems (CBS),1966,SGL Digit Increase (includes TAS from 21 to 27 Characters),Increase SGL from four to six digits to accommodate requirement for additional 4000 series accounts.,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,631,,,,1.4151,1.415032,1.249517,29/06/2012,7:07:34,
6,006-000803100,927,Department of Commerce(6),USPTO Fee Processing Next Generation (FPNG),856,FPNG UI&I Stakeholder and Stored Payment Account Management Reports,Pull stakeholder and stored payment account data into the EDW in order to replace the current RAM reports as well as some report requirements from the BPR effort.,2012-01-05T00:00:00Z,2013-02-28T00:00:00Z,420,2013-02-28T00:00:00Z,420,2013-06-30T00:00:00Z,1.225,1.225,1.225,15/08/2012,7:06:26,
6,006-000803100,927,Department of Commerce(6),USPTO Fee Processing Next Generation (FPNG),847,Configure COTS FPNG,"Configure Momentum to be the Revenue Subsidiary Ledger for FPNG - Includes pricing table, accounts receivable, accounts payable, deposit account agreements, and patent/trademark application notebooks.",2010-12-15T00:00:00Z,2012-08-28T00:00:00Z,621,2012-08-28T00:00:00Z,621,2012-08-28T00:00:00Z,1.29675,1.29675,1.22086,15/08/2012,7:06:26,
6,006-000400700,715,Department of Commerce(6),Census - Economic Census and Surveys,981,COGS survey IT support for collection and processing,Maintenance of data collection and processing systems for 2012 COG.,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,631,2012-09-30T00:00:00Z,631,2012-09-30T00:00:00Z,0.927026,0.927026,1.201642,17/08/2012,8:39:37,
6,006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1003,ECM Sharepoint,Establish the ECM foundation and ECM Center of Excellence.,2011-08-25T00:00:00Z,2012-03-31T00:00:00Z,219,2012-03-31T00:00:00Z,219,2012-09-28T00:00:00Z,4.875,4.875,1.1655,20/08/2012,13:53:17,
6,006-000803400,930,Department of Commerce(6),USPTO Trademark Next Generation (TM NG),2897,Authentication Authorization and SSO,"Using the recommendations from the FY11 AASSO project, this project will procure, deploy and configure the tools necessary to manage the Authentication, Authorization and Single-sign on of the TM NG.",2012-02-22T00:00:00Z,2012-12-13T00:00:00Z,295,2012-12-13T00:00:00Z,295,2012-12-13T00:00:00Z,1.08423,1.08423,1.08423,16/08/2012,5:23:21,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,2909,USPTO Alternate Processing Site (APS),"Negotiate Lease for USPTO Alternate Processing Site (APS) space at Boyers, PA Iron Mountain Facility and conduct planning for occupancy.",2011-12-15T00:00:00Z,2012-08-21T00:00:00Z,249,2012-08-15T00:00:00Z,243,2012-08-27T00:00:00Z,1.05749,1.05749,1.05749,29/06/2012,11:46:41,
6,006-000320500,770,Department of Commerce(6),NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS),1270,CLASS Data Center Migration,"This project supports the definition, analysis, design, test and implement plans for migrating all Data Center digital holdings into CLASS by 2015, as currently mandated by NESDIS management. These holdings include original data, data products, and associated metadata.",2011-01-10T00:00:00Z,2015-09-30T00:00:00Z,1723,,,,4.5,1.1,1.047,16/08/2012,10:26:34,
6,006-000803400,930,Department of Commerce(6),USPTO Trademark Next Generation (TM NG),968,FY12 TMNG Separation Virtualization,Project will continue moving Trademark systems to a standalone virtual environment.,2012-02-01T00:00:00Z,2013-04-19T00:00:00Z,442,2013-04-19T00:00:00Z,442,2013-04-19T00:00:00Z,1.76934,1.04463,1.04463,16/08/2012,5:23:21,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,902,PTONet III Network Access Control FOC,Increase the security posture for the Network and Security Infrastructure (NSI) General Support System (GSS) by deploying a NAC capability in the Campus LAN.,2011-01-03T00:00:00Z,2012-09-28T00:00:00Z,633,2012-09-28T00:00:00Z,633,2012-09-28T00:00:00Z,1.490352,1.37052,1.039134,15/08/2012,13:29:10,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1480,Information Generation,Streamlined information generation dissemination and access for partners to support decision assistance.,2010-01-10T00:00:00Z,2014-09-30T00:00:00Z,1723,2012-09-30T00:00:00Z,993,2012-09-30T00:00:00Z,5.549,1.25,1.00965,16/08/2012,12:23:24,
6,006-000656500,1082,Department of Commerce(6),ITA Export.Gov NextGen (ENG),2086,ITA Export.gov NextGen,"The Export.gov NextGen platform will be a collaborative portal for U.S. exporters, allowing delivery of a personalized, valuable experience to each user.  The platform will allow for the definition of user segments, which can then be leveraged to deliver relevant content, services, data, leads and events to users.",2012-01-10T00:00:00Z,2013-09-30T00:00:00Z,628,,,,16,1,1,28/09/2011,13:50:48,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1477,Collaboration,"Real-time collaboration among NWS operators and between NWS operators and partners, e.g., Emergency Managers to support improved product consistency, quality and decision assistance.",2008-01-07T00:00:00Z,2014-12-31T00:00:00Z,2550,,,,8.972,1,1,16/08/2012,12:23:24,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1476,N-AWIPS Migration,Migrate National Centers AWIPS (NAWPS) functions to AWIPS II SOA.,2007-01-10T00:00:00Z,2013-03-31T00:00:00Z,2272,2012-09-30T00:00:00Z,2089,2012-09-30T00:00:00Z,7.849,1,1,16/08/2012,12:23:24,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1482,Weather Event Simulator Integration,Integation of weather event simulator capabilities into SOA.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,,,,3.386,1,1,16/08/2012,12:23:24,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,2905,Website Redesign CMS Replacement,"This phase will gather Internet Content Management System requirements, seek expert advice, select the replacement CMS tool, and plan the implementation of the selected tool.",2011-08-30T00:00:00Z,2012-12-19T00:00:00Z,477,2012-12-19T00:00:00Z,477,2013-05-17T00:00:00Z,1,1,1,29/06/2012,11:46:41,
6,006-000803200,929,Department of Commerce(6),USPTO Patents End-to-End: Software Engineering (PE2E-SE),947,CPC legacy system integration,Address the patent legacy systems for the January 2013 agreement for the USPTO examination to be based on CPC.,2012-11-07T00:00:00Z,2013-09-30T00:00:00Z,326,,,,1,1,1,15/08/2012,13:30:11,
6,006-000803400,930,Department of Commerce(6),USPTO Trademark Next Generation (TM NG),2900,UCD Prototype,Develop unified interface prototype that is integrated and intuitive for both internal and external Trademark Users as well as provide flexibility to current workflow to meet stakeholder expectations.,2011-12-22T00:00:00Z,2012-06-22T00:00:00Z,182,2012-05-21T00:00:00Z,150,2012-06-20T00:00:00Z,0.93947,0.93947,0.98202,30/07/2012,9:23:34,
6,006-000803100,927,Department of Commerce(6),USPTO Fee Processing Next Generation (FPNG),853,FY12 Manage Program,Manage overarching business and technical dependencies. Determine overall program transition. Prepare and continually update program management plan documents. Provide stakeholder communications.,2011-03-10T00:00:00Z,2012-09-28T00:00:00Z,567,2012-09-28T00:00:00Z,567,2012-09-28T00:00:00Z,1.035,1.035,0.982,15/08/2012,7:06:26,
6,006-000003202,699,Department of Commerce(6),NOAA/NESDIS/ POES Ground System (POES-GS),1295,Telemetry and Command/Instruments,"Provide technical analysis, identify causes, mitigation, and solutions for performance issues, develop technical specifications for new telemetry systems, and study new technology for possible applications to NESDIS systems.",2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,1,1,0.969,29/06/2012,10:48:57,
6,006-000401400,931,Department of Commerce(6),"Census - 2020 Decennial Census Research and Testing Phase, FY2012-14",976,Alternative Administrative Records Database,This project builds on work conducted as part of the Census Program of Evaluations and Experiements (CPEX) Census Match Study to explore the feasibility of developing a high-quality non-Title 26 administrative records database.,2011-11-18T00:00:00Z,2014-09-30T00:00:00Z,1046,2012-09-30T00:00:00Z,316,2012-09-30T00:00:00Z,2.501,1.242487,0.964457,28/06/2012,8:11:46,
6,006-000803200,929,Department of Commerce(6),USPTO Patents End-to-End: Software Engineering (PE2E-SE),3047,CPC Classification in Search Systems - Backend,Implement the latest BRS text loader and modify the CSS load conversion software to enable loading the full text of all documents and CPC allocations.,2012-02-14T00:00:00Z,2013-01-18T00:00:00Z,339,,,,0.94928,0.94928,0.94928,15/08/2012,13:30:11,
6,006-000803400,930,Department of Commerce(6),USPTO Trademark Next Generation (TM NG),2898,Web and Business Services 1 - Phase 1,"To develop the web and business services needed to fully automate The Trademark Buisness processes.  These are defined in the 17 Value Streams, and have been prioritized in the Trademarks Priority List.",2012-09-02T00:00:00Z,2012-11-15T00:00:00Z,74,2012-11-15T00:00:00Z,74,2012-11-20T00:00:00Z,3.00238,0.94115,0.94115,16/08/2012,5:23:21,
6,006-000803400,930,Department of Commerce(6),USPTO Trademark Next Generation (TM NG),971,Web and Business Services 2 - Phase 1,"To develop the web and business services needed to fully automate The Trademark Buisness processes.  These are defined in the 17 Value Streams, and have been prioritized in the Trademarks Priority List.",2012-02-04T00:00:00Z,2012-11-23T00:00:00Z,293,2012-11-23T00:00:00Z,293,2012-11-23T00:00:00Z,3.00238,0.94076,0.94076,16/08/2012,5:23:21,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1475,AWIPS II Migration,Migration of AWIPS capabilities to new software architecture.,2006-01-03T00:00:00Z,2012-03-31T00:00:00Z,2278,2012-03-31T00:00:00Z,2278,2011-08-12T00:00:00Z,30.161314,2.52,0.9374,16/08/2012,12:23:24,
6,006-000401000,680,Department of Commerce(6),Census - Local Employment Dynamics IT Support (LED),989,Firm Age and Size,Complete integration of these data elements into the program infrastructure and update supporting web applications.,2010-01-10T00:00:00Z,2012-06-07T00:00:00Z,878,2012-06-07T00:00:00Z,878,2012-09-30T00:00:00Z,1.6,1.395,0.933,16/08/2012,5:09:47,
6,006-000311000,702,Department of Commerce(6),NOAA/NWS/ Data Assimilation and Modeling,1524,Porting Software to New SuperComputer,The NCEP operational production suite of models must be transition from the IBM P6 to the yet to be defined new operational super computer.,2012-01-07T00:00:00Z,2012-01-11T00:00:00Z,4,,,,1.62,0.93,0.93,30/04/2012,10:38:17,
6,006-000803200,929,Department of Commerce(6),USPTO Patents End-to-End: Software Engineering (PE2E-SE),932,Design the User interface - Phase I,"Examiner Participation - UI Design process assessing Storyboards, Wireframes. Establish Clickable Prototypes based on the user requirements.",2010-01-10T00:00:00Z,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,627,2011-09-30T00:00:00Z,0.89427,0.89427,0.89427,29/06/2012,14:14:03,
6,006-000803200,929,Department of Commerce(6),USPTO Patents End-to-End: Software Engineering (PE2E-SE),3161,Convert existing office action data to XML,"With this project, the MS Word Document versions of completed Office Actions that are stored by OACS would be accessed, converted to an as yet undefined XML standard and uploaded into the content management system for text.",2012-01-05T00:00:00Z,2012-12-31T00:00:00Z,361,2012-10-08T00:00:00Z,276,2012-12-31T00:00:00Z,0.8719,0.8719,0.8719,30/07/2012,13:36:24,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,881,Boyers Internet Point of Presence (PoP),To procure and install the equipment and telecom infrastructure to provide an Internet Point of Presence (PoP) at Boyers.,2010-02-18T00:00:00Z,2012-09-01T00:00:00Z,925,2011-03-16T00:00:00Z,391,2012-11-01T00:00:00Z,0.84215,0.84215,0.84215,24/02/2012,11:52:03,
6,006-000803200,929,Department of Commerce(6),USPTO Patents End-to-End: Software Engineering (PE2E-SE),952,Business Architecture,"Establish a business architecture to document pain points, priorities and dependencies in the Patent Business.",2011-07-09T00:00:00Z,2012-09-28T00:00:00Z,447,2012-09-28T00:00:00Z,447,2012-09-28T00:00:00Z,0.84207,0.84207,0.84207,15/08/2012,13:30:11,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1230,Balance of Payments Process Modernization,Parallel test components of new BP system.,2011-08-20T00:00:00Z,2012-09-30T00:00:00Z,407,2012-09-30T00:00:00Z,407,2012-09-30T00:00:00Z,1.24,1.24,0.838,29/06/2012,13:01:20,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,912,SAN Core Monitor Replacements,"Replace SAN cable plant, upgrade SAN infrastructure, and upgrade SAN monitoring to support 8GB fiber channel capability in storage and server hardware.",2011-12-21T00:00:00Z,2012-05-25T00:00:00Z,155,2012-05-25T00:00:00Z,155,2012-08-23T00:00:00Z,0.845,0.845,0.83665,15/08/2012,13:29:10,
6,006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1004,ECM Sharepoint Document Management Pilot,"This pilot will Design, Develop, Integrate, Test, and Implement SharePoint document management and collaboration for CARRA.",2011-01-12T00:00:00Z,2012-11-30T00:00:00Z,688,2012-11-30T00:00:00Z,688,2012-10-19T00:00:00Z,1.5,1.5,0.836405,20/08/2012,13:53:17,
6,006-000803400,930,Department of Commerce(6),USPTO Trademark Next Generation (TM NG),966,TSDR 1.0,Modify TRD to display Trademark biographic data to the public.,2009-09-04T00:00:00Z,2011-12-30T00:00:00Z,847,2011-12-30T00:00:00Z,847,2011-12-30T00:00:00Z,0.81178,0.81178,0.81178,29/06/2012,6:33:08,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,907,Websphere Portal Migration,"Migrate EFS Web, PAIR, PALM from Websphere to JBOSS.",2011-07-22T00:00:00Z,2012-12-20T00:00:00Z,517,2012-09-01T00:00:00Z,407,2012-12-20T00:00:00Z,0.80047,0.80047,0.80047,29/06/2012,11:46:40,
6,006-000803100,927,Department of Commerce(6),USPTO Fee Processing Next Generation (FPNG),849,FPNG UI&I Prototype 1.0,"Set up the basic FPNG physical architecture and become familiar with the selected FPNG technology stack. Also, work through the Agile development methodology and determine best policies / procedures for moving forward.",2011-05-27T00:00:00Z,2011-11-18T00:00:00Z,175,2011-11-17T00:00:00Z,174,2011-11-17T00:00:00Z,0.73381,0.73381,0.7838,29/06/2012,11:47:36,
6,006-000051500,1081,Department of Commerce(6),Commerce Business Application Solutions (BAS),2084,Organizational Change Management,Development of approach and documentation for organizational change.,2012-01-10T00:00:00Z,2014-03-31T00:00:00Z,810,,,,0.7755,0.7755,0.7755,28/09/2011,13:22:53,
6,006-000803400,930,Department of Commerce(6),USPTO Trademark Next Generation (TM NG),2896,User Interface (UI) - Phase 1,To develop the TM NG User Interface based on the prototype selected.,2012-05-30T00:00:00Z,2012-11-30T00:00:00Z,184,2012-11-30T00:00:00Z,184,2012-11-30T00:00:00Z,0.79586,0.76187,0.76187,16/08/2012,5:23:21,
6,006-999990530,1135,Department of Commerce(6),BusinessUSA,2980,BusinessUSA Website,Beta BusinessUSA website under USA.gov.,2011-10-28T00:00:00Z,2017-09-29T00:00:00Z,2163,2012-09-30T00:00:00Z,338,2012-09-30T00:00:00Z,0.754,0.754,0.754,29/02/2012,12:53:16,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,2907,International Data Service Security Compliance,The International Data Service Security Compliance (IDSSC) project will implement a security enclave in the TRINET Security Compliance (TSC) Zone to securely process and monitor patent data exchange.,2011-11-16T00:00:00Z,2012-11-15T00:00:00Z,365,2012-11-01T00:00:00Z,351,2012-11-15T00:00:00Z,0.71414,0.71414,0.73331,29/06/2012,11:46:41,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,2906,ITSM Remedy Analytics and Dashboards,Setup of a Microsoft virtual platform to support the installation of the BMC ITSM Remedy 7.6.04 Analytics and Dashboards module.,2011-08-11T00:00:00Z,2012-04-13T00:00:00Z,246,2012-03-22T00:00:00Z,224,2013-09-30T00:00:00Z,0.72472,0.72472,0.72472,15/08/2012,13:29:10,
6,006-000051100,725,Department of Commerce(6),Consolidated HCHB IT Infrastructure (CHII),1153,Upgrade EDA Network Capacity & Speed,EDA is upgrading its 4 x T1 VBNS+ network to MPLS T3 service at HQ and all regional offices.,2011-01-07T00:00:00Z,2012-09-30T00:00:00Z,631,2012-03-31T00:00:00Z,448,2012-03-19T00:00:00Z,1.0001,1,0.67299,29/06/2012,7:21:57,
6,006-000050200,726,Department of Commerce(6),Commerce Business Environment (CBE),1961,C.Award Implementation.,"Implementation of the Web-based Acquisition Contract Writing System, C.Award.",2009-09-30T00:00:00Z,2012-06-30T00:00:00Z,1004,2012-01-20T00:00:00Z,842,2012-01-20T00:00:00Z,3.42,0.654,0.654,29/02/2012,13:20:09,
6,006-000400300,724,Department of Commerce(6),Census - Data Access and Dissemination System (DADS),3063,Replacement Dissemination System -Infrastructure Implementation,"Project 4: The DADS Replacement Dissemination System - Infrastructure Implementation project includes tasks that provide infrastructure implementation and maintenance, security analysis, testing, performance and capacity management, configuration and change management, and disaster recovery implementation and maintenance.",2011-01-07T00:00:00Z,2012-06-29T00:00:00Z,538,,,,0.617595,0.617595,0.649725,29/05/2012,12:55:21,
6,006-000803100,927,Department of Commerce(6),USPTO Fee Processing Next Generation (FPNG),851,FY11 Manage Program,Manage overarching business and technical dependencies. Prepare and continually update program management plan documents. Provide stakeholder communications.,2011-03-01T00:00:00Z,2011-09-30T00:00:00Z,212,2011-09-30T00:00:00Z,212,2011-09-30T00:00:00Z,2.291,2.291,0.627391,29/06/2012,11:47:36,
6,006-000310100,701,Department of Commerce(6),NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS),1479,Thin Client,Develop enterprise solution for remote access to AWIPS capabilities.,2008-01-07T00:00:00Z,2012-06-30T00:00:00Z,1635,2012-06-30T00:00:00Z,1635,2012-06-30T00:00:00Z,2.281,0.75,0.62309,16/08/2012,12:23:24,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,911,Data Center Program Support,"Facilitate in the execution of projects regarding project planning, SDLC, budget and technical documentation on a program and project level.",2011-12-09T00:00:00Z,2012-12-14T00:00:00Z,371,2012-07-12T00:00:00Z,215,2012-12-14T00:00:00Z,0.61879,0.61879,0.61879,29/06/2012,11:46:41,
6,006-000003213,694,Department of Commerce(6),NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC),1667,FY12 Product and Processing Deployment to Operations,"To deploy infrastructure into an operational configuration for satellites, products and distribution systems.",2011-04-16T00:00:00Z,2012-09-30T00:00:00Z,533,,,,0.606,0.606,0.605,16/08/2012,10:27:33,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,927,FY12 Tech Refresh Cloud Forms IaaS Implementation,"This effort is the third year of performing upgrades to COTS software, infrastructure components and researching emerging technologies.",2012-01-25T00:00:00Z,2012-12-12T00:00:00Z,322,2012-09-28T00:00:00Z,246,2012-12-12T00:00:00Z,0.175,0.175,0.60144,15/08/2012,13:29:10,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),1238,FY12 Controls Testing,Maintain the integrity of BEA Statistics by completing independent testing of security controls.,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,628,2012-09-30T00:00:00Z,0.6,0.6,0.6,30/07/2012,11:43:49,
6,006-000321100,696,Department of Commerce(6),NOAA/NESDIS/ NPP Data Exploitation (NDE),1290,Prepare NDE Production Environment for integration into OSPO.,"Complete the integration of the NDE Production Environment. Develop training modules for system administrators, network administrators and Science Product Area Leaders (PAL).",2011-01-11T00:00:00Z,2012-06-15T00:00:00Z,520,2012-04-30T00:00:00Z,474,2012-08-20T00:00:00Z,0.475,0.475,0.591,16/08/2012,10:59:08,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,905,TRDM 2 0 Desktop Rights,"Further stabilize desktops thru increased Desktop Rights Management as mandated by OMB by limiting local administrative rights (LAR). When using privilege management software, the justification for LAR is elevated for tasks only, not applied to full OS.",2011-04-19T00:00:00Z,2012-08-24T00:00:00Z,493,2012-08-24T00:00:00Z,493,2012-08-28T00:00:00Z,0.60144,0.60143,0.56278,15/08/2012,13:29:10,
6,006-000803200,929,Department of Commerce(6),USPTO Patents End-to-End: Software Engineering (PE2E-SE),3219,PATI-Gap Conversion,"Convert backfile documents received since Jan. 25, 2012 and will be received before Continuous capture begins into XML for PATI and PE2E use.",2012-05-17T00:00:00Z,2013-06-28T00:00:00Z,407,2013-06-28T00:00:00Z,407,2013-06-28T00:00:00Z,0.52544,0.52544,0.52544,15/08/2012,13:30:11,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,893,FY11 Auto Deployment,Conduct pilot for auto deployment using Build Forge for 3 AIS.,2010-09-12T00:00:00Z,2011-12-30T00:00:00Z,474,2011-12-30T00:00:00Z,474,2011-12-30T00:00:00Z,0.52294,0.52294,0.52294,29/06/2012,11:46:40,
6,006-000400300,724,Department of Commerce(6),Census - Data Access and Dissemination System (DADS),3067,Data Conversion,Project 6: The DADS Data Conversion project includes tasks to convert and validate DADS legacy products for the Replacement Dissemination System.,2011-01-07T00:00:00Z,2011-12-21T00:00:00Z,348,2011-10-31T00:00:00Z,297,2011-12-21T00:00:00Z,0.291779,0.291797,0.511784,29/05/2012,12:55:21,
6,006-000803200,929,Department of Commerce(6),USPTO Patents End-to-End: Software Engineering (PE2E-SE),2891,PE2E-Conversion of Legacy Data Architecture,Convert legacy data and architecture to the new PE2E environment.,2010-10-20T00:00:00Z,2011-07-22T00:00:00Z,275,2011-06-30T00:00:00Z,253,2011-07-22T00:00:00Z,0.66677,0.66677,0.51086,29/06/2012,14:14:03,
6,006-999994060,926,Department of Commerce(6),OS OHRM Human Resource Management System (HRMS),1987,HRMS Program Office,Program/project management support and oversight for all planned activities.,2011-01-02T00:00:00Z,2014-09-30T00:00:00Z,1366,,,,0.707722,0.507256,0.503887,29/06/2012,7:10:04,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,2908,Cellular Repeater System (CRS),O&M - The CRS will be either upgraded or replaced with the latest technology to support 3G/4G frequencies and capabilities for user cellular/smart phones on campus and outlying USPTO buildings including Randolph Square.,2011-12-14T00:00:00Z,2012-12-20T00:00:00Z,372,2012-09-13T00:00:00Z,273,2012-12-20T00:00:00Z,0.5,0.5,0.5,27/07/2012,12:50:21,
6,006-000803200,929,Department of Commerce(6),USPTO Patents End-to-End: Software Engineering (PE2E-SE),942,CPC Collaboration,Collaboration Environment with EPO; This make take the form of anEPO sponsored web based tool that could require minor network or application changes.,2012-10-17T00:00:00Z,2013-09-30T00:00:00Z,348,,,,0.5,0.5,0.5,30/07/2012,13:36:24,
6,006-000401700,933,Department of Commerce(6),Census IT Infrastructure,1005,ECM Sharepoint Intranet Pilot,"This pilot will Design, Develop, Integrate, Test, and Implement a SharePoint Intranet site for ADCOM.",2011-01-12T00:00:00Z,2012-11-30T00:00:00Z,688,2012-11-30T00:00:00Z,688,2012-09-17T00:00:00Z,1,1,0.497457,20/08/2012,13:53:17,
6,006-000401000,680,Department of Commerce(6),Census - Local Employment Dynamics IT Support (LED),988,Federal Worker Data,Complete integration of Federal Worker data into program infrastructure.,2010-01-10T00:00:00Z,2012-06-30T00:00:00Z,901,2012-06-30T00:00:00Z,901,2012-06-30T00:00:00Z,0.675,0.548,0.4959,16/08/2012,5:09:47,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,900,OHRNet Technology Refresh,The purpose of this project is to replace and update hardware and software used by the Office of Human Resources (OHR) and the Office of Finance (OF) users.,2011-07-27T00:00:00Z,2012-11-20T00:00:00Z,482,2012-12-10T00:00:00Z,502,2012-10-31T00:00:00Z,0.4763,0.476284,0.493488,15/08/2012,13:29:10,
6,006-000801100,928,Department of Commerce(6),USPTO Network and Security Infrastructure,889,PTOFAX 2 0,"Upgrade the enterprise FAX system to bring it up to supported status, enhance existing services, provide Windows 7 compatible client and address expanding customer needs.",2010-01-06T00:00:00Z,2011-08-18T00:00:00Z,588,2011-08-08T00:00:00Z,578,2011-08-18T00:00:00Z,0.64406,0.64406,0.48237,29/06/2012,11:46:40,
6,006-000525200,629,Department of Commerce(6),BEA Estimation Information Technology System (BEA-EITS),2886,Cross Survey Data Validation,Design and develop a cross-survey data validation system.,2012-03-01T00:00:00Z,2012-09-28T00:00:00Z,210,2012-09-28T00:00:00Z,210,2012-09-28T00:00:00Z,0.532,0.532,0.4808,30/07/2012,11:43:49,
6,006-000310400,703,Department of Commerce(6),NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup),1488,WCOSS Dissemination Services FY12/FY13,FY12/FY13 O&M for WCOSS dissemination Services to incude the NOAA OCIO WOC.,2011-01-10T00:00:00Z,2013-09-30T00:00:00Z,993,,,,1.05,0.480001,0.480001,17/08/2012,11:41:57,
